model,mse_train,mse_test,rmse_train,rmse_test,budget_used
Baseline (Ground Truth),0.0,0.0,0.0,0.0,0
Surrogate 1 (Full Training),4.4180765356817195,16.125551026516817,2.101922105046169,4.015663211291108,10000
Submodel 2 (Partial Training),4.197492507628348,15.245233027951759,2.048778296358185,3.9045144420211533,2500
Submodel 3 (Partial Training),11.457111235672015,6.063719187871032,3.384835481330225,2.4624620175489067,2500
Submodel 4 (Partial Training),3.2228008148832417,6.746842673291066,1.7952160914171982,2.5974685124734553,2500
Supermodel (Coupled),1.1999850546395587,6.687868787544119,1.0954382933965559,2.586091411289268,10000
