model,alpha,beta,delta,gamma
Ground Truth,1.0,0.1,0.075,1.5
Surrogate 1 (Full Training),0.8546237646630874,0.08060839166717998,0.09656570392812372,1.8393684975786533
Submodel 2 (Partial Training),0.997210838185093,0.09656869004755507,0.07795090417039643,1.4216881354525648
Submodel 3 (Partial Training),1.2388113571654131,0.1253246381548977,0.06543872010565735,1.1357380546283975
Submodel 4 (Partial Training),0.9209237358119291,0.08378316402443138,0.08318879936071319,1.7119291416190425
